Title,Track,Artist,Song
Best of Rock Vol. I,1,Tool,Eulogy
Best of Rock Vol. I,2,Deftones,Change (in the house of flies)
Best of Rock Vol. I,3,Spineshank,Synthetic
Best of Rock Vol. I,4,System of a Down,Toxicity
Best of Rock Vol. I,5,Soundgarden,Black Hole Sun
Best of Rock Vol. I,6,Tool,Prison Sex
Best of Rock Vol. I,7,Crazy Town,Toxic
Best of Rock Vol. I,8,Hoobastank,Crawling in the Dark
Best of Rock Vol. I,9,Marilyn Manson,The Fight Song
Best of Rock Vol. I,10,Soulfly,Back to the Primitive
Best of Rock Vol. I,11,Tool,Lateralus
Best of Rock Vol. I,12,Korn,Freak on a Leash
Best of Rock Vol. I,13,System of a Down,ATWA
Best of Rock Vol. I,14,A Perfect Circle,Thinking of You
Best of Rock Vol. I,15,Nirvana,Mr. Moustache
Best of Rock Vol. I,16,Cold,Just Got Wicked
Best of Rock Vol. I,17,Dead Kennedys,Holiday in Cambodia
Best of Rock Vol. I,18,Swingin' Utters,Five Lessons Learned
Best of Rock Vol. II,1,Weezer,Hash Pipe
Best of Rock Vol. II,2,Tool,Ænema (live)
Best of Rock Vol. II,3,Alice in Chains,Man in the Box
Best of Rock Vol. II,4,Nirvana,In Bloom
Best of Rock Vol. II,5,Anathema,Deep
Best of Rock Vol. II,6,Dead Kennedys,Soup Is Good Food
Best of Rock Vol. II,7,Earshot,Get Away
Best of Rock Vol. II,8,Godsmack,I Stand Alone
Best of Rock Vol. II,9,Headcrash,Freedom
Best of Rock Vol. II,10,Soil,Halo
Best of Rock Vol. II,11,Slipknot,Wait and Bleed
Best of Rock Vol. II,12,Spineshank,Asthmatic
Best of Rock Vol. II,13,System of a Down,Metro
Best of Rock Vol. II,14,Rob Zombie,Dead Girl Superstar
Best of Rock Vol. II,15,Tool,Third Eye
Best of Rock Vol. II,16,Nine Inch Nails,"Starfuckers, Inc. (live)"
Best of Rock Vol. II,17,Cold,Anti-Love Song
Best of Rock Vol. II,18,System of a Down,Storaged
Best of Rock Vol. III,1,Tool,Intolerance
Best of Rock Vol. III,2,KMFDM,A Drug Against War
Best of Rock Vol. III,3,Tool,Opiate
Best of Rock Vol. III,4,Spineshank,New Disease
Best of Rock Vol. III,5,Soilwork,Needlefeast
Best of Rock Vol. III,6,Pantera,Hellbound
Best of Rock Vol. III,7,Snot,Snot
Best of Rock Vol. III,8,System of a Down,Innervision
Best of Rock Vol. III,9,Stabbing Westward,Save Yourself
Best of Rock Vol. III,10,Apartment 26,Apt. 26
Best of Rock Vol. III,11,System of a Down,Fuck the System
Best of Rock Vol. III,12,Deftones,Around the Fur
Best of Rock Vol. III,13,Tool,Hooker With A Penis
Best of Rock Vol. III,14,Staind,Make Believe
Best of Rock Vol. III,15,KMFDM,Anarchy
Best of Rock Vol. III,16,Slayer,Disciple
Best of Rock Vol. III,17,Rage Against the Machine,Know Your Enemy
Best of Rock Vol. III,18,Our Lady Peace,Whatever
Best of Rock Vol. III,19,Metallica,Battery
Best of Rock Vol. III,20,Motorhead,Orgasmatron
Best of Rock Vol. IV,1,40 Below Summer,5 lb. Bag
Best of Rock Vol. IV,2,Primer 55,Set It Off
Best of Rock Vol. IV,3,Reveille,Plastic
Best of Rock Vol. IV,4,Switched,Darkening Days
Best of Rock Vol. IV,5,Professional Murder Music,Slow
Best of Rock Vol. IV,6,Tool,Parabol
Best of Rock Vol. IV,7,Tool,Parabola
Best of Rock Vol. IV,8,Skinny Puppy,Worlock
Best of Rock Vol. IV,9,KMFDM,Adios
Best of Rock Vol. IV,10,Breaking Point,One of a Kind
Best of Rock Vol. IV,11,Stabbing Westward,Shame
Best of Rock Vol. IV,12,Boy Hits Car,I'm a Cloud
Best of Rock Vol. IV,13,Acid Bath,Scream of the Butterfly
Best of Rock Vol. IV,14,Alice in Chains,Down in a Hole
Best of Rock Vol. IV,15,Katatonia,For My Demons
Best of Rock Vol. IV,16,Finger Eleven,First Time
Best of Rock Vol. IV,17,Deftones,Passenger
Best of Rock Vol. V,1,Lostprophets,Shinobi vs. Dragon Ninja
Best of Rock Vol. V,2,Mudvayne,Death Blooms
Best of Rock Vol. V,3,Endo,Suffer
Best of Rock Vol. V,4,Tool,Part of Me
Best of Rock Vol. V,5,System of a Down,War?
Best of Rock Vol. V,6,Skinny Puppy,Assimilate
Best of Rock Vol. V,7,30 Seconds to Mars,Capricorn
Best of Rock Vol. V,8,Acid Bath,God Machine
Best of Rock Vol. V,9,KMFDM,Ultra
Best of Rock Vol. V,10,Disturbed,The Game
Best of Rock Vol. V,11,Deftones,Digital Bath
Best of Rock Vol. V,12,Gravity Kills,Enough
Best of Rock Vol. V,13,Nothingface,Bleeder
Best of Rock Vol. V,14,Sevendust,Home
Best of Rock Vol. V,15,Rob Zombie,Superbeast
Best of Rock Vol. V,16,A Perfect Circle,Magdalena
Best of Rock Vol. V,17,The Offspring,Killboy Powerhead
Best of Rock Vol. V,18,Anthrax,Got the Time
Best of Rock Vol. V,19,311,Come Original
Best of Rock Vol. V,20,Guttermouth,Can I Borrow Some Ambition?
Best of Rock Vol. VI,1,Korn,Blind
Best of Rock Vol. VI,2,Soilwork,Natural Born Chaos
Best of Rock Vol. VI,3,KMFDM vs. PIG,Fuck Me
Best of Rock Vol. VI,4,Gravity Kills,Blame
Best of Rock Vol. VI,5,Prick,Animal
Best of Rock Vol. VI,6,Skinny Puppy,Killing Game
Best of Rock Vol. VI,7,Tool,Stinkfist
Best of Rock Vol. VI,8,Boy Hits Car,Turning Inward
Best of Rock Vol. VI,9,Static-X,Cold
Best of Rock Vol. VI,10,Mudvayne,Dig
Best of Rock Vol. VI,11,System of a Down,Sugar (live)
Best of Rock Vol. VI,12,Rob Zombie,Living Dead Girl
Best of Rock Vol. VI,13,Dog Fashion Disco,Mushroom Cult
Best of Rock Vol. VI,14,Anthrax,Inside Out
Best of Rock Vol. VI,15,Cold,No One
Best of Rock Vol. VI,16,Earshot,Headstrong
Best of Rock Vol. VI,17,A Perfect Circle,Judith
Best of Rock Vol. VI,18,Nailbomb,Police Truck
Best of Rock Vol. VI,19,Shootyz Groove,High Definition
Best of Rock Vol. VI,20,Bad Religion,Epiphany
Best of Rock Vol. VII,1,30 Seconds to Mars,93 Million Miles
Best of Rock Vol. VII,2,A Perfect Circle,Thinking of You
Best of Rock Vol. VII,3,Stabbing Westward,Darkest Days
Best of Rock Vol. VII,4,MDFMK,Missing Time
Best of Rock Vol. VII,5,Headcrash,Asphalt Ostrich
Best of Rock Vol. VII,6,Korn,Here to Stay
Best of Rock Vol. VII,7,System of a Down,Snowblind
Best of Rock Vol. VII,8,Deftones,7 Words
Best of Rock Vol. VII,9,Glassjaw,Siberian Kiss
Best of Rock Vol. VII,10,Endo,The Program
Best of Rock Vol. VII,11,Earshot,Not Afraid
Best of Rock Vol. VII,12,KMFDM,Sucks
Best of Rock Vol. VII,13,Lostprophets,Kobrakai
Best of Rock Vol. VII,14,Tool,H.
Best of Rock Vol. VII,15,Disturbed,Violence Fetish
Best of Rock Vol. VII,16,Nine Inch Nails,March of the Pigs (live)
Best of Rock Vol. VII,17,Dead Kennedys,Chemical Warfare
Best of Rock Vol. VII,18,The Offspring,Jennifer Lost the War
Best of Rock Vol. VII,19,The Vandals,Behind the Music
Best of Rock Vol. VIII,1,Soilwork,Chainheart Machine
Best of Rock Vol. VIII,2,Slayer,Payback
Best of Rock Vol. VIII,3,Ultraspank,Jackass
Best of Rock Vol. VIII,4,Biohazard,Switchback
Best of Rock Vol. VIII,5,Static-X,Black and White
Best of Rock Vol. VIII,6,Korn,Clown
Best of Rock Vol. VIII,7,Rob Zombie,Feel So Numb
Best of Rock Vol. VIII,8,Soil,Breaking Me Down
Best of Rock Vol. VIII,9,Apartment 26,Death
Best of Rock Vol. VIII,10,Deftones,Be Quiet and Drive (Far Away)
Best of Rock Vol. VIII,11,Ill Nino,What Comes Around
Best of Rock Vol. VIII,12,Glassjaw,When One Eight Becomes Two Zeroes
Best of Rock Vol. VIII,13,Deadsy,Key to Gramercy Park
Best of Rock Vol. VIII,14,Onesidezero,Awake
Best of Rock Vol. VIII,15,Econoline Crush,You Don't Know What It's Like
Best of Rock Vol. VIII,16,Beastie Boys,Intergalactic
Best of Rock Vol. VIII,17,The Offspring,Bad Habit
Best of Rock Vol. VIII,18,Dead Kennedys,Pull My Strings
Best of Rock Vol. VIII,19,Bad Religion,Supersonic
Best of Rock Vol. VIII,20,Weezer,Buddy Holly
Best of Rock Vol. VIII,21,311,Livin' and Rockin'
Best of Rock Vol. IX,1,311,Down
