Playlist Name,Track #,Artist,Song,Duration,Genre,URL,Album,Year
Best of Rock Vol. I,1,Tool,Eulogy,9:55,Progressive metal,https://open.spotify.com/track/0RVFjx2HwbHcl5SCSADpFP?si=6ad36dcbae4e4409,Ænema,1996
Best of Rock Vol. I,2,Deftones,Change (in the house of flies),4:59,metal,,White Pony,
Best of Rock Vol. I,3,Spineshank,Synthetic,3:07,Nu Metal,,,
Best of Rock Vol. I,4,System of a Down,Toxicity,3:40,metal,,Toxicity,
Best of Rock Vol. I,5,Soundgarden,Black Hole Sun,4:30,Grunge,,,
Best of Rock Vol. I,6,Tool,Prison Sex,5:17,Progressive metal,,,
Best of Rock Vol. I,7,Crazy Town,Toxic,2:48,alternative rock,,,
Best of Rock Vol. I,8,Hoobastank,Crawling in the Dark,2:56,rock,,,
Best of Rock Vol. I,9,Marilyn Manson,The Fight Song,2:56,metal,,,
Best of Rock Vol. I,10,Soulfly,Back to the Primitive,4:21,metal,,,
Best of Rock Vol. I,11,Tool,Lateralus,11:16,Progressive metal,,Lateralus,
Best of Rock Vol. I,12,Korn,Freak on a Leash,4:44,Nu Metal,,,
Best of Rock Vol. I,13,System of a Down,ATWA,2:56,alternative metal,,,
Best of Rock Vol. I,14,A Perfect Circle,Thinking of You,4:47,alternative rock,,,
Best of Rock Vol. I,15,Nirvana,Mr. Moustache,3:38,Grunge,,,
Best of Rock Vol. I,16,Cold,Just Got Wicked,4:01,alternative rock,,,
Best of Rock Vol. I,17,Dead Kennedys,Holiday in Cambodia,4:40,punk,,,
Best of Rock Vol. I,18,Swingin' Utters,Five Lessons Learned,0:00,punk rock,,,
Best of Rock Vol. II,1,Weezer,Hash Pipe,3:06,rock,,,
Best of Rock Vol. II,2,Tool,Ænema (live),0:00,Unknown,,,
Best of Rock Vol. II,3,Alice in Chains,Man in the Box,4:30,Grunge,,,
Best of Rock Vol. II,4,Nirvana,In Bloom,4:17,Grunge,,,
Best of Rock Vol. II,5,Anathema,Deep,4:56,doom metal,,,
Best of Rock Vol. II,6,Dead Kennedys,Soup Is Good Food,4:17,punk,,,
Best of Rock Vol. II,7,Earshot,Get Away,0:00,heard on Pandora,,,
Best of Rock Vol. II,8,Godsmack,I Stand Alone,4:06,metal,,,
Best of Rock Vol. II,9,Headcrash,Freedom,3:47,crossover,,,
Best of Rock Vol. II,10,Soil,Halo,3:19,metal,,,
Best of Rock Vol. II,11,Slipknot,Wait and Bleed,2:27,metal,,,
Best of Rock Vol. II,12,Spineshank,Asthmatic,3:30,industrial metal,,,
Best of Rock Vol. II,13,System of a Down,Metro,2:59,metal,,,
Best of Rock Vol. II,14,Rob Zombie,Dead Girl Superstar,0:00,industrial metal,,,
Best of Rock Vol. II,15,Tool,Third Eye,13:47,Progressive metal,,,
Best of Rock Vol. II,16,Nine Inch Nails,Starfuckers,5:49,,industrial rock,,,
Best of Rock Vol. II,17,Cold,Anti-Love Song,3:10,metal,,,
Best of Rock Vol. II,18,System of a Down,Storaged,1:17,metal,,,
Best of Rock Vol. III,1,Tool,Intolerance,6:12,Progressive metal,,,
Best of Rock Vol. III,2,KMFDM,A Drug Against War,0:00,industrial,,,
Best of Rock Vol. III,3,Tool,Opiate,6:07,Progressive metal,,,
Best of Rock Vol. III,4,Spineshank,New Disease,3:14,Nu Metal,,,
Best of Rock Vol. III,5,Soilwork,Needlefeast,0:00,Melodic Death Metal,,,
Best of Rock Vol. III,6,Pantera,Hellbound,2:40,thrash metal,,,
Best of Rock Vol. III,7,Snot,Snot,0:00,metal,,,
Best of Rock Vol. III,8,System of a Down,Innervision,2:34,alternative metal,,,
Best of Rock Vol. III,9,Stabbing Westward,Save Yourself,4:15,industrial,,,
Best of Rock Vol. III,10,Apartment 26,Apt. 26,3:14,banned,,,
Best of Rock Vol. III,11,System of a Down,Fuck the System,2:13,metal,,,
Best of Rock Vol. III,12,Deftones,Around the Fur,2:56,metal,,,
Best of Rock Vol. III,13,Tool,Hooker With A Penis,5:22,Progressive metal,,,
Best of Rock Vol. III,14,Staind,Make Believe,N/A,Unknown,,,
Best of Rock Vol. III,15,KMFDM,Anarchy,0:00,industrial,,,
