Playlist Name,Track #,Artist,Song,Duration,Genre,URL,Album,Year
Best of Rock Vol. I,1,Tool,Eulogy,8:25,Progressive metal,https://open.spotify.com/track/0RVFjx2HwbHcl5SCSADpFP?si=6ad36dcbae4e4409,Ænema,1996
Best of Rock Vol. I,2,Deftones,Change (in the house of flies),5:00,metal,,White Pony,
Best of Rock Vol. I,3,Spineshank,Synthetic,3:10,Nu Metal,,,
Best of Rock Vol. I,4,System of a Down,Toxicity,,metal,,Toxicity,
Best of Rock Vol. I,5,Soundgarden,Black Hole Sun,,Grunge,,,
Best of Rock Vol. I,6,Tool,Prison Sex,,Progressive metal,,,
Best of Rock Vol. I,7,Crazy Town,Toxic,,alternative rock,,,
Best of Rock Vol. I,8,Hoobastank,Crawling in the Dark,,rock,,,
Best of Rock Vol. I,9,Marilyn Manson,The Fight Song,,metal,,,
Best of Rock Vol. I,10,Soulfly,Back to the Primitive,,metal,,,
Best of Rock Vol. I,11,Tool,Lateralus,,Progressive metal,,Lateralus,
Best of Rock Vol. I,12,Korn,Freak on a Leash,,Nu Metal,,,
Best of Rock Vol. I,13,System of a Down,ATWA,,alternative metal,,,
Best of Rock Vol. I,14,A Perfect Circle,Thinking of You,,alternative rock,,,
Best of Rock Vol. I,15,Nirvana,Mr. Moustache,,Grunge,,,
Best of Rock Vol. I,16,Cold,Just Got Wicked,,alternative rock,,,
Best of Rock Vol. I,17,Dead Kennedys,Holiday in Cambodia,,punk,,,
Best of Rock Vol. I,18,Swingin' Utters,Five Lessons Learned,,punk rock,,,
Best of Rock Vol. II,1,Weezer,Hash Pipe,,rock,,,
Best of Rock Vol. II,2,Tool,Ænema (live),,Unknown,,,
Best of Rock Vol. II,3,Alice in Chains,Man in the Box,,Grunge,,,
Best of Rock Vol. II,4,Nirvana,In Bloom,,Grunge,,,
Best of Rock Vol. II,5,Anathema,Deep,,doom metal,,,
Best of Rock Vol. II,6,Dead Kennedys,Soup Is Good Food,,punk,,,
Best of Rock Vol. II,7,Earshot,Get Away,,heard on Pandora,,,
Best of Rock Vol. II,8,Godsmack,I Stand Alone,,metal,,,
Best of Rock Vol. II,9,Headcrash,Freedom,,crossover,,,
Best of Rock Vol. II,10,Soil,Halo,,metal,,,
Best of Rock Vol. II,11,Slipknot,Wait and Bleed,,metal,,,
Best of Rock Vol. II,12,Spineshank,Asthmatic,,industrial metal,,,
Best of Rock Vol. II,13,System of a Down,Metro,,metal,,,
Best of Rock Vol. II,14,Rob Zombie,Dead Girl Superstar,,industrial metal,,,
Best of Rock Vol. II,15,Tool,Third Eye,,Progressive metal,,,
Best of Rock Vol. II,16,Nine Inch Nails,Starfuckers, Inc. (live),,industrial rock,,,
Best of Rock Vol. II,17,Cold,Anti-Love Song,,metal,,,
Best of Rock Vol. II,18,System of a Down,Storaged,,metal,,,
Best of Rock Vol. III,1,Tool,Intolerance,,Progressive metal,,,
Best of Rock Vol. III,2,KMFDM,A Drug Against War,,industrial,,,
Best of Rock Vol. III,3,Tool,Opiate,,Progressive metal,,,
Best of Rock Vol. III,4,Spineshank,New Disease,,Nu Metal,,,
Best of Rock Vol. III,5,Soilwork,Needlefeast,,Melodic Death Metal,,,
Best of Rock Vol. III,6,Pantera,Hellbound,,thrash metal,,,
Best of Rock Vol. III,7,Snot,Snot,,metal,,,
Best of Rock Vol. III,8,System of a Down,Innervision,,alternative metal,,,
Best of Rock Vol. III,9,Stabbing Westward,Save Yourself,,industrial,,,
Best of Rock Vol. III,10,Apartment 26,Apt. 26,,banned,,,
Best of Rock Vol. III,11,System of a Down,Fuck the System,,metal,,,
Best of Rock Vol. III,12,Deftones,Around the Fur,,metal,,,
Best of Rock Vol. III,13,Tool,Hooker With A Penis,,Progressive metal,,,
Best of Rock Vol. III,14,Staind,Make Believe,,Unknown,,,
Best of Rock Vol. III,15,KMFDM,Anarchy,,industrial,,,
Best of Rock Vol. III,16,Slayer,Disciple,,thrash metal,,,
Best of Rock Vol. III,17,Rage Against the Machine,Know Your Enemy,,rock,,,
Best of Rock Vol. III,18,Our Lady Peace,Whatever,,rock,,,
Best of Rock Vol. III,19,Metallica,Battery,,thrash metal,,,
